# Set of values 
# 
# Temperature, Pressure, Flow rate, Time
# 
# 
300.0,0.0,0.4,2.0
400.0,0.0,0.4,2.0
300.0,0.0,0.4,2.0
400.0,0.0,0.4,2.0
300.0,0.0,0.2,2.0
400.0,0.0,0.2,2.0
300.0,0.0,0.6,2.0
400.0,0.0,0.6,2.0
300.0,0.0,0.4,1.0
400.0,0.0,0.4,1.0
300.0,0.0,0.4,3.0
400.0,0.0,0.4,3.0
350.0,0.0,0.2,2.0
350.0,0.0,0.2,2.0
350.0,0.0,0.6,2.0
350.0,0.0,0.6,2.0
350.0,0.0,0.4,1.0
350.0,0.0,0.4,1.0
350.0,0.0,0.4,3.0
350.0,0.0,0.4,3.0
350.0,0.0,0.2,1.0
350.0,0.0,0.6,1.0
350.0,0.0,0.2,3.0
350.0,0.0,0.6,3.0
350.0,0.0,0.4,2.0
# 
# 
# Author: René Alejandro Cartaya López
