# Set of values 
# 
# Temperature, Pressure, Flow rate, Time
# 
# 
300.0,0.0,0.2,1.0
350.0,0.0,0.2,1.0
400.0,0.0,0.2,1.0
300.0,0.0,0.2,1.0
350.0,0.0,0.2,1.0
400.0,0.0,0.2,1.0
300.0,0.0,0.2,1.0
350.0,0.0,0.2,1.0
400.0,0.0,0.2,1.0
300.0,0.0,0.4,1.0
350.0,0.0,0.4,1.0
400.0,0.0,0.4,1.0
300.0,0.0,0.4,1.0
350.0,0.0,0.4,1.0
400.0,0.0,0.4,1.0
300.0,0.0,0.4,1.0
350.0,0.0,0.4,1.0
400.0,0.0,0.4,1.0
300.0,0.0,0.2,2.0
350.0,0.0,0.2,2.0
400.0,0.0,0.2,2.0
300.0,0.0,0.2,2.0
350.0,0.0,0.2,2.0
400.0,0.0,0.2,2.0
300.0,0.0,0.2,2.0
350.0,0.0,0.2,2.0
400.0,0.0,0.2,2.0
300.0,0.0,0.4,2.0
350.0,0.0,0.4,2.0
400.0,0.0,0.4,2.0
300.0,0.0,0.4,2.0
350.0,0.0,0.4,2.0
400.0,0.0,0.4,2.0
300.0,0.0,0.4,2.0
350.0,0.0,0.4,2.0
400.0,0.0,0.4,2.0
300.0,0.0,0.2,3.0
350.0,0.0,0.2,3.0
400.0,0.0,0.2,3.0
300.0,0.0,0.2,3.0
350.0,0.0,0.2,3.0
400.0,0.0,0.2,3.0
300.0,0.0,0.2,3.0
350.0,0.0,0.2,3.0
400.0,0.0,0.2,3.0
300.0,0.0,0.4,3.0
350.0,0.0,0.4,3.0
400.0,0.0,0.4,3.0
300.0,0.0,0.4,3.0
350.0,0.0,0.4,3.0
400.0,0.0,0.4,3.0
300.0,0.0,0.4,3.0
350.0,0.0,0.4,3.0
400.0,0.0,0.4,3.0
300.0,0.0,0.2,4.0
350.0,0.0,0.2,4.0
400.0,0.0,0.2,4.0
300.0,0.0,0.2,4.0
350.0,0.0,0.2,4.0
400.0,0.0,0.2,4.0
300.0,0.0,0.2,4.0
350.0,0.0,0.2,4.0
400.0,0.0,0.2,4.0
300.0,0.0,0.4,4.0
350.0,0.0,0.4,4.0
400.0,0.0,0.4,4.0
300.0,0.0,0.4,4.0
350.0,0.0,0.4,4.0
400.0,0.0,0.4,4.0
300.0,0.0,0.4,4.0
350.0,0.0,0.4,4.0
400.0,0.0,0.4,4.0
300.0,0.0,0.2,5.0
350.0,0.0,0.2,5.0
400.0,0.0,0.2,5.0
300.0,0.0,0.2,5.0
350.0,0.0,0.2,5.0
400.0,0.0,0.2,5.0
300.0,0.0,0.2,5.0
350.0,0.0,0.2,5.0
400.0,0.0,0.2,5.0
300.0,0.0,0.4,5.0
350.0,0.0,0.4,5.0
400.0,0.0,0.4,5.0
300.0,0.0,0.4,5.0
350.0,0.0,0.4,5.0
400.0,0.0,0.4,5.0
300.0,0.0,0.4,5.0
350.0,0.0,0.4,5.0
400.0,0.0,0.4,5.0
# Author: René Alejandro Cartaya López
